Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
SJS-LJG-34,North China,Liujiagou,Shuiyuguan section,314.5,Early Triassic,Smithian,74,57,82,"Xu et al., 2023",314.5,
SJS-LJG-33,North China,Liujiagou,Shuiyuguan section,309.5,Early Triassic,Smithian,73,54,81,"Xu et al., 2023",309.5,
SJS-LJG-32,North China,Liujiagou,Shuiyuguan section,305.5,Early Triassic,Smithian,76,57,84,"Xu et al., 2023",305.5,
SJS-LJG-31,North China,Liujiagou,Shuiyuguan section,296.5,Early Triassic,Smithian,74,54,82,"Xu et al., 2023",296.5,
SJS-LJG-30,North China,Liujiagou,Shuiyuguan section,289.5,Early Triassic,Smithian,74,54,82,"Xu et al., 2023",289.5,
SJS-LJG-29,North China,Liujiagou,Shuiyuguan section,278.5,Early Triassic,Smithian,73,56,81,"Xu et al., 2023",278.5,
SJS-LJG-28,North China,Liujiagou,Shuiyuguan section,271.5,Early Triassic,Smithian,74,57,84,"Xu et al., 2023",271.5,
SJS-LJG-27,North China,Liujiagou,Shuiyuguan section,264.5,Early Triassic,Smithian,75,58,84,"Xu et al., 2023",264.5,
SJS-LJG-26,North China,Liujiagou,Shuiyuguan section,255.5,Early Triassic,Smithian,72,55,79,"Xu et al., 2023",255.5,
SJS-LJG-25,North China,Liujiagou,Shuiyuguan section,240.5,Early Triassic,Smithian,74,57,82,"Xu et al., 2023",240.5,
SJS-LJG-24,North China,Liujiagou,Shuiyuguan section,224.5,Early Triassic,Smithian,73,58,81,"Xu et al., 2023",224.5,
SJS-LJG-23,North China,Liujiagou,Shuiyuguan section,208.5,Early Triassic,Smithian,74,56,81,"Xu et al., 2023",208.5,
SJS-LJG-22,North China,Liujiagou,Shuiyuguan section,201.5,Early Triassic,Smithian,72,60,81,"Xu et al., 2023",201.5,
SJS-LJG-21,North China,Liujiagou,Shuiyuguan section,191.5,Early Triassic,Smithian,72,62,79,"Xu et al., 2023",191.5,
SJS-LJG-20,North China,Liujiagou,Shuiyuguan section,184.5,Early Triassic,Smithian,72,68,80,"Xu et al., 2023",184.5,
SJS-LJG-19,North China,Liujiagou,Shuiyuguan section,177.5,Early Triassic,Smithian,69,66,75,"Xu et al., 2023",177.5,
SJS-LJG-18,North China,Liujiagou,Shuiyuguan section,157.3,Early Triassic,Smithian,74,64,83,"Xu et al., 2023",157.3,
SJS-LJG-17,North China,Liujiagou,Shuiyuguan section,131,Early Triassic,Smithian,72,69,80,"Xu et al., 2023",131,
SJS-LJG-16,North China,Liujiagou,Shuiyuguan section,96,Early Triassic,Dienarian,71,65,79,"Xu et al., 2023",96,
SJS-LJG-15,North China,Liujiagou,Shuiyuguan section,93.5,Early Triassic,Dienarian,63,62,68,"Xu et al., 2023",93.5,
SJS-LJG-14,North China,Liujiagou,Shuiyuguan section,92,Early Triassic,Dienarian,69,71,77,"Xu et al., 2023",92,
SJS-LJG-13,North China,Liujiagou,Shuiyuguan section,90.5,Early Triassic,Dienarian,72,69,80,"Xu et al., 2023",90.5,
SJS-LJG-12,North China,Liujiagou,Shuiyuguan section,80,Early Triassic,Dienarian,71,70,80,"Xu et al., 2023",80,
SJS-LJG-11,North China,Liujiagou,Shuiyuguan section,72,Early Triassic,Dienarian,61,59,64,"Xu et al., 2023",72,
SJS-LJG-9,North China,Liujiagou,Shuiyuguan section,57,Early Triassic,Dienarian,57,63,62,"Xu et al., 2023",57,
SJS-LJG-8,North China,Liujiagou,Shuiyuguan section,54,Early Triassic,Dienarian,70,64,79,"Xu et al., 2023",54,
