Sample,Country,Formation,Section,Elevation,Period,Time,Age,CIA,WIP,CIAcorr.,References
SJS-LJG-34,North China,Liujiagou,Shuiyuguan,314.5,Early Triassic,Triassic,Smithian,74,57,82,"Xu et al., 2023"
SJS-LJG-33,North China,Liujiagou,Shuiyuguan,309.5,Early Triassic,Triassic,Smithian,73,54,81,"Xu et al., 2023"
SJS-LJG-32,North China,Liujiagou,Shuiyuguan,305.5,Early Triassic,Triassic,Smithian,76,57,84,"Xu et al., 2023"
SJS-LJG-31,North China,Liujiagou,Shuiyuguan,296.5,Early Triassic,Triassic,Smithian,74,54,82,"Xu et al., 2023"
SJS-LJG-30,North China,Liujiagou,Shuiyuguan,289.5,Early Triassic,Triassic,Smithian,74,54,82,"Xu et al., 2023"
SJS-LJG-29,North China,Liujiagou,Shuiyuguan,278.5,Early Triassic,Triassic,Smithian,73,56,81,"Xu et al., 2023"
SJS-LJG-28,North China,Liujiagou,Shuiyuguan,271.5,Early Triassic,Triassic,Smithian,74,57,84,"Xu et al., 2023"
SJS-LJG-27,North China,Liujiagou,Shuiyuguan,264.5,Early Triassic,Triassic,Smithian,75,58,84,"Xu et al., 2023"
SJS-LJG-26,North China,Liujiagou,Shuiyuguan,255.5,Early Triassic,Triassic,Smithian,72,55,79,"Xu et al., 2023"
SJS-LJG-25,North China,Liujiagou,Shuiyuguan,240.5,Early Triassic,Triassic,Smithian,74,57,82,"Xu et al., 2023"
SJS-LJG-24,North China,Liujiagou,Shuiyuguan,224.5,Early Triassic,Triassic,Smithian,73,58,81,"Xu et al., 2023"
SJS-LJG-23,North China,Liujiagou,Shuiyuguan,208.5,Early Triassic,Triassic,Smithian,74,56,81,"Xu et al., 2023"
SJS-LJG-22,North China,Liujiagou,Shuiyuguan,201.5,Early Triassic,Triassic,Smithian,72,60,81,"Xu et al., 2023"
SJS-LJG-21,North China,Liujiagou,Shuiyuguan,191.5,Early Triassic,Triassic,Smithian,72,62,79,"Xu et al., 2023"
SJS-LJG-20,North China,Liujiagou,Shuiyuguan,184.5,Early Triassic,Triassic,Smithian,72,68,80,"Xu et al., 2023"
SJS-LJG-19,North China,Liujiagou,Shuiyuguan,177.5,Early Triassic,Triassic,Smithian,69,66,75,"Xu et al., 2023"
SJS-LJG-18,North China,Liujiagou,Shuiyuguan,157.3,Early Triassic,Triassic,Smithian,74,64,83,"Xu et al., 2023"
SJS-LJG-17,North China,Liujiagou,Shuiyuguan,131,Early Triassic,Triassic,Smithian,72,69,80,"Xu et al., 2023"
SJS-LJG-16,North China,Liujiagou,Shuiyuguan,96,Early Triassic,Triassic,Dienarian,71,65,79,"Xu et al., 2023"
SJS-LJG-15,North China,Liujiagou,Shuiyuguan,93.5,Early Triassic,Triassic,Dienarian,63,62,68,"Xu et al., 2023"
SJS-LJG-14,North China,Liujiagou,Shuiyuguan,92,Early Triassic,Triassic,Dienarian,69,71,77,"Xu et al., 2023"
SJS-LJG-13,North China,Liujiagou,Shuiyuguan,90.5,Early Triassic,Triassic,Dienarian,72,69,80,"Xu et al., 2023"
SJS-LJG-12,North China,Liujiagou,Shuiyuguan,80,Early Triassic,Triassic,Dienarian,71,70,80,"Xu et al., 2023"
SJS-LJG-11,North China,Liujiagou,Shuiyuguan,72,Early Triassic,Triassic,Dienarian,61,59,64,"Xu et al., 2023"
SJS-LJG-9,North China,Liujiagou,Shuiyuguan,57,Early Triassic,Triassic,Dienarian,57,63,62,"Xu et al., 2023"
SJS-LJG-8,North China,Liujiagou,Shuiyuguan,54,Early Triassic,Triassic,Dienarian,70,64,79,"Xu et al., 2023"
SJS-LJG-7,North China,Liujiagou,Shuiyuguan,47.5,Early Triassic,Triassic,Dienarian,61,61,65,"Xu et al., 2023"
SJS-LJG-6,North China,Liujiagou,Shuiyuguan,46,Early Triassic,Triassic,Dienarian,64,62,69,"Xu et al., 2023"
SJS-LJG-5,North China,Liujiagou,Shuiyuguan,42.5,Early Triassic,Triassic,Dienarian,71,66,78,"Xu et al., 2023"
SJS-LJG-3,North China,Liujiagou,Shuiyuguan,32.5,Early Triassic,Triassic,Dienarian,60,65,61,"Xu et al., 2023"
SJS-LJG-2,North China,Liujiagou,Shuiyuguan,31,Early Triassic,Triassic,Dienarian,66,66,71,"Xu et al., 2023"
SJS-SS-60,North China,Sunjiagou,Shuiyuguan,21.8,Early Triassic,Triassic,Griesbachian,60,65,64,"Xu et al., 2023"
SJS-SS-59,North China,Sunjiagou,Shuiyuguan,20.8,Early Triassic,Triassic,Griesbachian,65,67,72,"Xu et al., 2023"
SJS-SS-58,North China,Sunjiagou,Shuiyuguan,19.8,Early Triassic,Triassic,Griesbachian,58,53,64,"Xu et al., 2023"
SJS-SS-57,North China,Sunjiagou,Shuiyuguan,18.8,Early Triassic,Triassic,Griesbachian,55,55,57,"Xu et al., 2023"
SJS-SS-54,North China,Sunjiagou,Shuiyuguan,10.9,Early Triassic,Triassic,Griesbachian,60,65,64,"Xu et al., 2023"
SJS-SS-52,North China,Sunjiagou,Shuiyuguan,9.2,Early Triassic,Triassic,Griesbachian,61,65,66,"Xu et al., 2023"
SJS-SS-50,North China,Sunjiagou,Shuiyuguan,7.4,Early Triassic,Triassic,Griesbachian,58,65,61,"Xu et al., 2023"
SJS-SS-48,North China,Sunjiagou,Shuiyuguan,4.7,Early Triassic,Triassic,Griesbachian,62,62,68,"Xu et al., 2023"
SJS-SS-47,North China,Sunjiagou,Shuiyuguan,4.2,Early Triassic,Triassic,Griesbachian,63,65,70,"Xu et al., 2023"
SJS-SS-45,North China,Sunjiagou,Shuiyuguan,2.7,Late Permian,Permian,Changhsingian,59,64,63,"Xu et al., 2023"
SJS-SS-43,North China,Sunjiagou,Shuiyuguan,1.7,Late Permian,Permian,Changhsingian,59,65,64,"Xu et al., 2023"
SJS-SS-41,North China,Sunjiagou,Shuiyuguan,0.3,Late Permian,Permian,Changhsingian,64,64,73,"Xu et al., 2023"
SJS-SS-39,North China,Sunjiagou,Shuiyuguan,-0.5,Late Permian,Permian,Changhsingian,59,52,65,"Xu et al., 2023"
SJS-SS-38,North China,Sunjiagou,Shuiyuguan,-10.3,Late Permian,Permian,Changhsingian,64,71,66,"Xu et al., 2023"
SJS-40/41-2,North China,Sunjiagou,Shuiyuguan,-19.3,Late Permian,Permian,Changhsingian,67,58,76,"Xu et al., 2023"
SJS-40/41-1,North China,Sunjiagou,Shuiyuguan,-20.3,Late Permian,Permian,Changhsingian,67,59,74,"Xu et al., 2023"
SJS-37-2,North China,Sunjiagou,Shuiyuguan,-34.3,Late Permian,Permian,Changhsingian,70,41,76,"Xu et al., 2023"
SJS-37-1,North China,Sunjiagou,Shuiyuguan,-37.3,Late Permian,Permian,Changhsingian,70,53,75,"Xu et al., 2023"
SJS-SS-37,North China,Sunjiagou,Shuiyuguan,-42.8,Late Permian,Permian,Changhsingian,68,44,71,"Xu et al., 2023"
SJS-SS-35,North China,Sunjiagou,Shuiyuguan,-46.6,Late Permian,Permian,Changhsingian,75,37,78,"Xu et al., 2023"
SJS-SS-33,North China,Sunjiagou,Shuiyuguan,-49.5,Late Permian,Permian,Changhsingian,80,27,82,"Xu et al., 2023"
XJDN-SFG-14,Xinjiang,Shaofanggou,Dalongkou,543,Early Triassic,Triassic,Spathian,79,16,83,"Xu et al., 2023"
XJDN-SFG-13,Xinjiang,Shaofanggou,Dalongkou,506,Early Triassic,Triassic,Spathian,68,46,74,"Xu et al., 2023"
XJDN-SFG-12,Xinjiang,Shaofanggou,Dalongkou,482,Early Triassic,Triassic,Spathian,73,44,80,"Xu et al., 2023"
XJDN-SFG-11,Xinjiang,Shaofanggou,Dalongkou,437,Early Triassic,Triassic,Spathian,70,44,76,"Xu et al., 2023"
XJDN-SFG-10,Xinjiang,Shaofanggou,Dalongkou,435,Early Triassic,Triassic,Spathian,71,44,78,"Xu et al., 2023"
XJDN-SFG-9,Xinjiang,Shaofanggou,Dalongkou,433,Early Triassic,Triassic,Spathian,70,44,76,"Xu et al., 2023"
XJDN-SFG-8,Xinjiang,Shaofanggou,Dalongkou,412,Early Triassic,Triassic,Spathian,70,43,76,"Xu et al., 2023"
XJDN-SFG-7,Xinjiang,Shaofanggou,Dalongkou,406,Early Triassic,Triassic,Spathian,70,45,78,"Xu et al., 2023"
