Sample,Country,Location,Section,Elevation,Period,Age,Ca,Reference,"Payne etal., 2010","Silva-Tamayo et al., 2018",Dajiang section,Saiq Plateau section,Ta_kent section,Tesero Road section
PDJ-001,South China,GBG,Dajiang section,0,Late Permian,Changhsingian,-0.5,"Payne etal., 2010",-0.5,,0,,,
PDJ-009,South China,GBG,Dajiang section,9,Late Permian,Changhsingian,-0.56,"Payne etal., 2010",-0.56,,9,,,
PDJ-017,South China,GBG,Dajiang section,17,Late Permian,Changhsingian,-0.39,"Payne etal., 2010",-0.39,,17,,,
PDJ-026,South China,GBG,Dajiang section,26,Late Permian,Changhsingian,-0.26,"Payne etal., 2010",-0.26,,26,,,
PDJ-030,South China,GBG,Dajiang section,30,Late Permian,Changhsingian,-0.68,"Payne etal., 2010",-0.68,,30,,,
PDJ-033,South China,GBG,Dajiang section,33,Late Permian,Changhsingian,-0.52,"Payne etal., 2010",-0.52,,33,,,
PDJ-040,South China,GBG,Dajiang section,39.7,Late Permian,Changhsingian,-0.62,"Payne etal., 2010",-0.62,,39.7,,,
PDJ-044,South China,GBG,Dajiang section,43,Late Permian,Changhsingian,-0.74,"Payne etal., 2010",-0.74,,43,,,
PDJ-046,South China,GBG,Dajiang section,44.5,Late Permian,Changhsingian,-0.78,"Payne etal., 2010",-0.78,,44.5,,,
PDJ-050,South China,GBG,Dajiang section,47,Early Triassic,Griesbachian,-0.84,"Payne etal., 2010",-0.84,,47,,,
PDJ-053,South China,GBG,Dajiang section,50,Early Triassic,Griesbachian,-0.89,"Payne etal., 2010",-0.89,,50,,,
PDJ-055,South China,GBG,Dajiang section,51.6,Early Triassic,Griesbachian,-0.84,"Payne etal., 2010",-0.84,,51.6,,,
PDJ-058,South China,GBG,Dajiang section,54,Early Triassic,Griesbachian,-0.71,"Payne etal., 2010",-0.71,,54,,,
PDJ-061,South China,GBG,Dajiang section,56.4,Early Triassic,Griesbachian,-0.73,"Payne etal., 2010",-0.73,,56.4,,,
PDJ-064,South China,GBG,Dajiang section,57.4,Early Triassic,Griesbachian,-0.52,"Payne etal., 2010",-0.52,,57.4,,,
PDJ-068,South China,GBG,Dajiang section,60,Early Triassic,Griesbachian,-0.84,"Payne etal., 2010",-0.84,,60,,,
PDJ-072,South China,GBG,Dajiang section,64,Early Triassic,Griesbachian,-0.72,"Payne etal., 2010",-0.72,,64,,,
PDJ-075,South China,GBG,Dajiang section,66,Early Triassic,Griesbachian,-0.8,"Payne etal., 2010",-0.8,,66,,,
