Section/location,Country,Sample name,Conodont zone,Formation,Period,Stage,Age (Ma),Li,References
Yinkeng Fm,China,,26,,Permian,,252.28,16.8,Sun et al. (2018)
Yinkeng Fm,China,,25-26-3A,,Permian,,252.28,15.8,Sun et al. (2018)
Yinkeng Fm,China,,25-26-1A,,Permian,,252.28,17,Sun et al. (2018)
Yinkeng Fm,China,,25-2A,,Permian,,252.28,16.3,Sun et al. (2018)
Changhsing Fm,China,,24E3-25,,Permian,,252.4,16,Sun et al. (2018)
Changhsing Fm,China,,24-E1,,Permian,,252.4,10.9,Sun et al. (2018)
Changhsing Fm,China,,24-D6,,Permian,,252.4,13,Sun et al. (2018)
Changhsing Fm,China,,24D2-B,,Permian,,252.4,11.8,Sun et al. (2018)
Changhsing Fm,China,,24-B,,Permian,,252.4,16.4,Sun et al. (2018)
Changhsing Fm,China,,23-9,,Permian,,252.4,11.8,Sun et al. (2018)
Changhsing Fm,China,,23-7-B,,Permian,,252.4,12,Sun et al. (2018)
Changhsing Fm,China,,23-5,,Permian,,252.4,10.7,Sun et al. (2018)
Changhsing Fm,China,,23-4-down,,Permian,,252.4,15.2,Sun et al. (2018)
Changhsing Fm,China,,23-2-middle,,Permian,,252.4,10.8,Sun et al. (2018)
Changhsing Fm,China,,23-1-up-C,,Permian,,252.4,9.9,Sun et al. (2018)
Changhsing Fm,China,,23-1-down,,Permian,,252.4,10.9,Sun et al. (2018)
Changhsing Fm,China,,22-16,,Permian,,252.4,10.6,Sun et al. (2018)
Changhsing Fm,China,,22-14,,Permian,,252.4,10.3,Sun et al. (2018)
Changhsing Fm,China,,22-12-13-C,,Permian,,252.4,15.2,Sun et al. (2018)
Changhsing Fm,China,,22-11,,Permian,,252.4,12.5,Sun et al. (2018)
Changhsing Fm,China,,22-1-B,,Permian,,252.4,20.8,Sun et al. (2018)
Nine Mile,USA,,,,Permian,Asselian,295.16,9.5,Cao et al. (2022)
Nine Mile,USA,,,,Permian,Sakmarian,293.3,4.7,Cao et al. (2022)
Nine Mile,USA,,,,Permian,Sakmarian,292.35,11.5,Cao et al. (2022)
Nine Mile,USA,,,,Permian,Sakmarian,291.39,12.4,Cao et al. (2022)
Nine Mile,USA,,,,Permian,Artinskian,290.1,9.6,Cao et al. (2022)
Rockland Ridge,USA,,,,Permian,Artinskian,288.56,12.9,Cao et al. (2022)
Rockland Ridge,USA,,,,Permian,Artinskian,288.36,11.5,Cao et al. (2022)
Rockland Ridge,USA,,,,Permian,Artinskian,287.66,9.3,Cao et al. (2022)
Rockland Ridge,USA,,,,Permian,Artinskian,287.21,12.8,Cao et al. (2022)
Rockland Ridge,USA,,,,Permian,Kungurian,283.01,7.7,Cao et al. (2022)
Shanggang,China,,,Heshan,Permian,Changhsingian,251.91,1.5,Cao et al. (2022)
Shanggang,China,,,Heshan,Permian,Changhsingian,251.95,1.2,Cao et al. (2022)
Shanggang,China,,,Heshan,Permian,Changhsingian,252.13,2.6,Cao et al. (2022)
Shanggang,China,,,Heshan,Permian,Changhsingian,252.43,5.2,Cao et al. (2022)
Shangsi,China,,,Wujiaping,Permian,Capitanian,259.38,7,Cao et al. (2022)
Shangsi,China,,,Wujiaping,Permian,Capitanian,259.19,12.2,Cao et al. (2022)
Shangsi,China,,,Wujiaping,Permian,Wuchiapingian,259.03,12.5,Cao et al. (2022)
Shangsi,China,,,Dalong,Permian,Changhsingian,253.35,-2.1,Cao et al. (2022)
Shangsi,China,,,Feixianguan,Permian,Changhsingian,252.32,0.2,Cao et al. (2022)
