Country,Section,Period,time,Age,Osi,References,
South China,Meishan,Early Triassic,Triassic,251.15,0.72,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.28,0.3,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.4,0.97,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.54,0.82,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.63,1.25,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.73,0.79,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.86,0.7,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.9,0.64,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.9,0.52,"Liu et al., 2021",
South China,Meishan,Early Triassic,Triassic,251.9,0.53,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.91,0.18,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.91,0.54,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.92,0.21,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.92,0.63,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.93,0.64,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.93,0.58,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.94,0.72,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.95,0.65,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.96,0.21,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,251.98,0.53,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,252.04,0.56,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,252.08,0.32,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,252.12,0.47,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,252.2,0.33,"Liu et al., 2021",
South China,Meishan,Late Permian,Permian,252.28,0.57,"Liu et al., 2021",
South China,Niushan,Early Triassic,Triassic,251.38,0.53,"Liu and Selby, 2021",
South China,Niushan,Early Triassic,Triassic,251.48,0.82,"Liu and Selby, 2021",
South China,Niushan,Early Triassic,Triassic,251.55,0.91,"Liu and Selby, 2021",
South China,Niushan,Early Triassic,Triassic,251.63,0.9,"Liu and Selby, 2021",
South China,Niushan,Early Triassic,Triassic,251.75,1.14,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,251.92,0.89,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,252.03,0.3,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,252.07,0.34,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,252.08,0.71,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,252.11,0.61,"Liu and Selby, 2021",
South China,Niushan,Late Permian,Permian,252.13,0.64,"Liu and Selby, 2021",
