Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Guandao ,GuandaoII-59 ,Middle Triassic,Carnian,236.09,,Budurovignathus mungoensis ,0.7079,Song et al. (2015)
Guandao ,GuandaoII-57 ,Middle Triassic,Carnian,236.45,,Budurovignathus mungoensis ,0.70764,Song et al. (2015)
Guandao ,GuandaoII-53,Middle Triassic,Ladinian,237.49,,Budurovignathus mungoensis ,0.70781,Song et al. (2015)
Guandao ,GuandaoII-52,Middle Triassic,Ladinian,237.98,,Budurovignathus mungoensis ,0.70777,Song et al. (2015)
Guandao ,GuandaoII-51,Middle Triassic,Ladinian,238.46,,Budurovignathus mungoensis ,0.70766,Song et al. (2015)
Guandao ,GuandaoII-50,Middle Triassic,Ladinian,238.95,,Budurovignathus mungoensis ,0.70778,Song et al. (2015)
Guandao ,GuandaoII-49,Middle Triassic,Ladinian,239.44,,Budurovignathus mungoensis ,0.70752,Song et al. (2015)
Guandao ,GuandaoII-48,Middle Triassic,Ladinian,239.93,,Budurovignathus mungoensis ,0.70762,Song et al. (2015)
Guandao ,GuandaoII-47,Middle Triassic,Ladinian,240.41,,Budurovignathus mungoensis ,0.70767,Song et al. (2015)
Guandao ,GuandaoII-46,Middle Triassic,Ladinian,240.9,,Budurovignathus hungaricus ,0.70775,Song et al. (2015)
Guandao ,GuandaoII-45,Middle Triassic,Ladinian,241,,Budurovignathus hungaricus ,0.70782,Song et al. (2015)
Guandao ,GuandaoII-43,Middle Triassic,Ladinian,241.32,,Budurovignathus hungaricus ,0.70777,Song et al. (2015)
Guandao ,GuandaoII-42,Middle Triassic,Ladinian,241.49,,Budurovignathus hungaricus ,0.70785,Song et al. (2015)
Guandao ,GuandaoII-41,Middle Triassic,Ladinian,241.65,,Budurovignathus hungaricus ,0.70765,Song et al. (2015)
Guandao ,GuandaoII-33 ,Middle Triassic,Anisian,242.94,,Neogondolella constricta ,0.70794,Song et al. (2015)
Guandao ,GuandaoII-32,Middle Triassic,Anisian,243.1,,Neogondolella constricta ,0.70795,Song et al. (2015)
Guandao ,GuandaoII-31,Middle Triassic,Anisian,243.26,,Neogondolella constricta ,0.70784,Song et al. (2015)
Guandao ,GuandaoII-29,Middle Triassic,Anisian,243.59,,Neogondolella constricta ,0.70789,Song et al. (2015)
Guandao ,GuandaoII-27,Middle Triassic,Anisian,243.91,,Paragondolella bulgarica ,0.70777,Song et al. (2015)
Guandao ,GuandaoII-24,Middle Triassic,Anisian,244.39,,Paragondolella bulgarica ,0.70794,Song et al. (2015)
Qingyan,Qingyan-47,Middle Triassic,Anisian,244.8,,Paragondolella bulgarica ,0.70804,Song et al. (2015)
