Section,Country,Period,Stage,Substage,Mg,Reference,
GK-1 core,Austria,Triassic,,,-1.49,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.74,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.57,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.62,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.63,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.66,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.59,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.41,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.76,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.57,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.55,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.57,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.46,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.58,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.57,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.59,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.41,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.45,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.68,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.79,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.71,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.77,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.81,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.67,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.43,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.55,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.63,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.85,"Hu et al., 2021",
GK-1 core,Austria,Triassic,,,-1.96,"Hu et al., 2021",
