d26Mg,Section,Country,Period,Stage,Substage,Depthm,d26Mg,Reference,"Hu et al., 2021","Chen et al., 2020","Shalev et al., 2019"
-1.49,GK-1 core,Austria,Triassic,,,72,-1.49,"Hu et al., 2021",-1.49,0,0
-1.74,GK-1 core,Austria,Triassic,,,76.74,-1.74,"Hu et al., 2021",-1.74,0,0
-1.57,GK-1 core,Austria,Triassic,,,81.5,-1.57,"Hu et al., 2021",-1.57,0,0
-1.62,GK-1 core,Austria,Triassic,,,85.52,-1.62,"Hu et al., 2021",-1.62,0,0
-1.63,GK-1 core,Austria,Triassic,,,88.9,-1.63,"Hu et al., 2021",-1.63,0,0
-1.66,GK-1 core,Austria,Triassic,,,96.15,-1.66,"Hu et al., 2021",-1.66,0,0
-1.59,GK-1 core,Austria,Triassic,,,102.9,-1.59,"Hu et al., 2021",-1.59,0,0
-1.41,GK-1 core,Austria,Triassic,,,104.9,-1.41,"Hu et al., 2021",-1.41,0,0
-1.76,GK-1 core,Austria,Triassic,,,107.38,-1.76,"Hu et al., 2021",-1.76,0,0
-1.57,GK-1 core,Austria,Triassic,,,109.2,-1.57,"Hu et al., 2021",-1.57,0,0
-1.55,GK-1 core,Austria,Triassic,,,116.44,-1.55,"Hu et al., 2021",-1.55,0,0
-1.57,GK-1 core,Austria,Triassic,,,119.1,-1.57,"Hu et al., 2021",-1.57,0,0
-1.46,GK-1 core,Austria,Triassic,,,123.6,-1.46,"Hu et al., 2021",-1.46,0,0
-1.58,GK-1 core,Austria,Triassic,,,127.8,-1.58,"Hu et al., 2021",-1.58,0,0
-1.57,GK-1 core,Austria,Triassic,,,138.85,-1.57,"Hu et al., 2021",-1.57,0,0
-1.59,GK-1 core,Austria,Triassic,,,141.63,-1.59,"Hu et al., 2021",-1.59,0,0
-1.41,GK-1 core,Austria,Triassic,,,145.55,-1.41,"Hu et al., 2021",-1.41,0,0
-1.45,GK-1 core,Austria,Triassic,,,148.37,-1.45,"Hu et al., 2021",-1.45,0,0
-1.68,GK-1 core,Austria,Triassic,,,154.1,-1.68,"Hu et al., 2021",-1.68,0,0
-1.79,GK-1 core,Austria,Triassic,,,160.48,-1.79,"Hu et al., 2021",-1.79,0,0
-1.71,GK-1 core,Austria,Triassic,,,164.1,-1.71,"Hu et al., 2021",-1.71,0,0
-1.77,GK-1 core,Austria,Triassic,,,165.98,-1.77,"Hu et al., 2021",-1.77,0,0
-1.81,GK-1 core,Austria,Triassic,,,169.25,-1.81,"Hu et al., 2021",-1.81,0,0
-1.67,GK-1 core,Austria,Triassic,,,175.5,-1.67,"Hu et al., 2021",-1.67,0,0
-1.43,GK-1 core,Austria,Triassic,,,179.7,-1.43,"Hu et al., 2021",-1.43,0,0
-1.55,GK-1 core,Austria,Triassic,,,181.95,-1.55,"Hu et al., 2021",-1.55,0,0
-1.63,GK-1 core,Austria,Triassic,,,186.34,-1.63,"Hu et al., 2021",-1.63,0,0
-1.85,GK-1 core,Austria,Triassic,,,189.48,-1.85,"Hu et al., 2021",-1.85,0,0
-1.96,GK-1 core,Austria,Triassic,,,192.25,-1.96,"Hu et al., 2021",-1.96,0,0
-1.9,GK-1 core,Austria,Triassic,,,194.6,-1.9,"Hu et al., 2021",-1.9,0,0
-1.95,GK-1 core,Austria,Triassic,,,196.5,-1.95,"Hu et al., 2021",-1.95,0,0
-1.8,GK-1 core,Austria,Triassic,,,199.54,-1.8,"Hu et al., 2021",-1.8,0,0
-1.83,GK-1 core,Austria,Triassic,,,203.95,-1.83,"Hu et al., 2021",-1.83,0,0
-1.8,GK-1 core,Austria,Triassic,,,206.3,-1.8,"Hu et al., 2021",-1.8,0,0
-1.46,GK-1 core,Austria,Triassic,,,211.65,-1.46,"Hu et al., 2021",-1.46,0,0
-1.41,GK-1 core,Austria,Triassic,,,213.35,-1.41,"Hu et al., 2021",-1.41,0,0
-1.43,GK-1 core,Austria,Triassic,,,216.72,-1.43,"Hu et al., 2021",-1.43,0,0
-1.6,GK-1 core,Austria,Triassic,,,220.1,-1.6,"Hu et al., 2021",-1.6,0,0
-1.7,GK-1 core,Austria,Triassic,,,220.75,-1.7,"Hu et al., 2021",-1.7,0,0
-1.71,GK-1 core,Austria,Triassic,,,221.45,-1.71,"Hu et al., 2021",-1.71,0,0
