Sample,Country,Location,Section,Elevation,Period,Time,Age,Ca,Reference,
PDJ-001,South China,GBG,Dajiang,0,Late Permian,Permian,Changhsingian,-0.5,Payne,"Payne etal., 2010"
PDJ-009,South China,GBG,Dajiang,9,Late Permian,Permian,Changhsingian,-0.56,Payne,"Payne etal., 2010"
PDJ-017,South China,GBG,Dajiang,17,Late Permian,Permian,Changhsingian,-0.39,Payne,"Payne etal., 2010"
PDJ-026,South China,GBG,Dajiang,26,Late Permian,Permian,Changhsingian,-0.26,Payne,"Payne etal., 2010"
PDJ-030,South China,GBG,Dajiang,30,Late Permian,Permian,Changhsingian,-0.68,Payne,"Payne etal., 2010"
PDJ-033,South China,GBG,Dajiang,33,Late Permian,Permian,Changhsingian,-0.52,Payne,"Payne etal., 2010"
PDJ-040,South China,GBG,Dajiang,39.7,Late Permian,Permian,Changhsingian,-0.62,Payne,"Payne etal., 2010"
PDJ-044,South China,GBG,Dajiang,43,Late Permian,Permian,Changhsingian,-0.74,Payne,"Payne etal., 2010"
PDJ-046,South China,GBG,Dajiang,44.5,Late Permian,Permian,Changhsingian,-0.78,Payne,"Payne etal., 2010"
PDJ-050,South China,GBG,Dajiang,47,Early Triassic,Triassic,Griesbachian,-0.84,Payne,"Payne etal., 2010"
PDJ-053,South China,GBG,Dajiang,50,Early Triassic,Triassic,Griesbachian,-0.89,Payne,"Payne etal., 2010"
PDJ-055,South China,GBG,Dajiang,51.6,Early Triassic,Triassic,Griesbachian,-0.84,Payne,"Payne etal., 2010"
PDJ-058,South China,GBG,Dajiang,54,Early Triassic,Triassic,Griesbachian,-0.71,Payne,"Payne etal., 2010"
PDJ-061,South China,GBG,Dajiang,56.4,Early Triassic,Triassic,Griesbachian,-0.73,Payne,"Payne etal., 2010"
PDJ-064,South China,GBG,Dajiang,57.4,Early Triassic,Triassic,Griesbachian,-0.52,Payne,"Payne etal., 2010"
PDJ-068,South China,GBG,Dajiang,60,Early Triassic,Triassic,Griesbachian,-0.84,Payne,"Payne etal., 2010"
PDJ-072,South China,GBG,Dajiang,64,Early Triassic,Triassic,Griesbachian,-0.72,Payne,"Payne etal., 2010"
PDJ-075,South China,GBG,Dajiang,66,Early Triassic,Triassic,Griesbachian,-0.8,Payne,"Payne etal., 2010"
