Section/location,Country,Conodont zone,Formation,Period,Stage,Age original (Ma),Age calculated in this study (GST 2020),Li,Reference
Nine Mile,USA,,,Permian,Asselian,295.875,295.16,9.5,"Cao et al., 2022"
Nine Mile,USA,,,Permian,Sakmarian,293.859,293.3,4.7,"Cao et al., 2022"
Nine Mile,USA,,,Permian,Sakmarian,291.039,292.35,11.5,"Cao et al., 2022"
Nine Mile,USA,,,Permian,Sakmarian,288.218,291.39,12.4,"Cao et al., 2022"
Nine Mile,USA,,,Permian,Artinskian,284.4,290.1,9.6,"Cao et al., 2022"
Rockland Ridge,USA,,,Permian,Artinskian,282.353,288.56,12.9,"Cao et al., 2022"
Rockland Ridge,USA,,,Permian,Artinskian,282.085,288.36,11.5,"Cao et al., 2022"
Rockland Ridge,USA,,,Permian,Artinskian,281.152,287.66,9.3,"Cao et al., 2022"
Rockland Ridge,USA,,,Permian,Artinskian,280.541,287.21,12.8,"Cao et al., 2022"
Rockland Ridge,USA,,,Permian,Kungurian,275.37,283.01,7.7,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Olenekian,248.767,248.77,5.5,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Olenekian,250.367,250.37,5.8,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Olenekian,250.648,250.65,3.5,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Olenekian,250.952,250.95,4.7,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Olenekian,251.198,251.2,4.2,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.273,251.27,1.7,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.365,251.37,5.1,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.499,251.5,3.9,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.66,251.66,3.4,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.688,251.69,3.9,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.754,251.75,4.7,"Cao et al., 2022"
Shanggang,China,,Luolou,Triassic,Induan,251.826,251.83,8,"Cao et al., 2022"
Shanggang,China,,Heshan,Permian,Changhsingian,251.91,251.91,1.5,"Cao et al., 2022"
Shanggang,China,,Heshan,Permian,Changhsingian,251.945,251.95,1.2,"Cao et al., 2022"
Shanggang,China,,Heshan,Permian,Changhsingian,252.133,252.13,2.6,"Cao et al., 2022"
Shanggang,China,,Heshan,Permian,Changhsingian,252.433,252.43,5.2,"Cao et al., 2022"
Shangsi,China,,Wujiaping,Permian,Capitanian,259.382,259.38,7,"Cao et al., 2022"
Shangsi,China,,Wujiaping,Permian,Capitanian,259.185,259.19,12.2,"Cao et al., 2022"
